DATE,自營商多,自營商空,自營商多空淨額,投信多,投信空,投信多空淨額,外資多,外資空,外資多空淨額
2021/10/18," 21,114"," 7,831"," 13,283"," 13,423"," 17,088"," -3,665"," 24,078"," 43,080"," -19,002"
2021/10/19,,,"13,544",,,"-3,665",,,"-19,550"
2021/10/19," 20,330"," 8,641"," 11,689"," 13,824"," 16,754"," -2,930"," 22,924"," 41,130"," -18,206"
2021/10/20,,,"12,842",,,"-2,930",,,"-18,552"
2021/10/20," 18,454"," 3,602"," 14,852"," 14,047"," 16,753"," -2,706"," 17,323"," 34,786"," -17,463"
2021/10/21,,,"15,186",,,"-2,706",,,"-17,484"
2021/10/21," 19,478"," 3,646"," 15,832"," 12,801"," 16,738"," -3,937"," 19,664"," 37,827"," -18,163"
2021/10/22,,,"15,938",,,"-3,937",,,"-17,489"
2021/10/22," 19,443"," 3,358"," 16,085"," 12,719"," 16,736"," -4,017"," 19,291"," 39,293"," -20,002"
2021/10/25,,,"15,867",,,"-4,017",,,"-19,629"
2021/10/25," 19,523"," 3,515"," 16,008"," 12,703"," 16,738"," -4,035"," 19,108"," 39,136"," -20,028"
2021/10/26,,,"15,733",,,"-4,035",,,"-20,646"
2021/10/26," 19,860"," 4,960"," 14,900"," 12,776"," 16,455"," -3,679"," 20,112"," 42,177"," -22,065"
2021/10/27,,,"14,830",,,"-3,679",,,"-22,022"
2021/10/27," 20,457"," 3,746"," 16,711"," 12,699"," 16,452"," -3,753"," 19,594"," 42,260"," -22,666"
2021/10/28,,,"16,554",,,"-3,753",,,"-22,787"
2021/10/28," 20,600"," 3,852"," 16,748"," 12,583"," 16,455"," -3,872"," 19,933"," 42,347"," -22,414"
2021/10/29,,,"16,987",,,"-3,872",,,"-22,859"
2021/10/29," 22,083"," 4,284"," 17,799"," 12,485"," 16,619"," -4,134"," 19,062"," 42,904"," -23,842"
2021/11/01,,,"17,757",,,"-4,134",,,"-23,512"
2021/11/01," 22,289"," 4,549"," 17,740"," 12,580"," 16,396"," -3,816"," 20,227"," 42,311"," -22,084"
2021/11/02,,,"17,770",,,"-3,816",,,"-21,986"
2021/11/02," 22,463"," 5,575"," 16,888"," 12,535"," 16,507"," -3,972"," 21,541"," 43,984"," -22,443"
2021/11/03,,,"16,962",,,"-3,972",,,"-22,319"
2021/11/03," 21,401"," 4,389"," 17,012"," 12,592"," 16,497"," -3,905"," 20,790"," 42,324"," -21,534"
2021/11/04,,,"17,145",,,"-3,905",,,"-22,066"
2021/11/04," 21,452"," 4,375"," 17,077"," 12,612"," 16,176"," -3,564"," 20,776"," 43,873"," -23,097"
2021/11/05,,,"17,233",,,"-3,564",,,"-22,977"
2021/11/05," 21,944"," 4,045"," 17,899"," 12,650"," 15,701"," -3,051"," 22,740"," 44,136"," -21,396"
2021/11/08,,,"18,076",,,"-3,051",,,"-21,284"
2021/11/08," 21,427"," 4,109"," 17,318"," 12,763"," 15,481"," -2,718"," 24,888"," 42,343"," -17,455"
2021/11/09,,,"17,171",,,"-2,718",,,"-17,459"
2021/11/09," 20,617"," 4,158"," 16,459"," 12,714"," 15,162"," -2,448"," 25,784"," 39,366"," -13,582"
2021/11/10,,,"16,299",,,"-2,448",,,"-14,231"
2021/11/10," 21,292"," 3,836"," 17,456"," 12,634"," 14,882"," -2,248"," 23,757"," 40,270"," -16,513"
2021/11/11,,,"17,309",,,"-2,248",,,"-16,712"
2021/11/11," 20,986"," 4,481"," 16,505"," 12,592"," 14,595"," -2,003"," 23,348"," 41,338"," -17,990"
2021/11/12,,,"15,961",,,"-2,003",,,"-16,611"
2021/11/12," 20,371"," 4,148"," 16,223"," 12,638"," 14,588"," -1,950"," 25,699"," 42,670"," -16,971"
2021/11/15,,,"16,090",,,"-1,950",,,"-16,036"
2021/11/15," 19,721"," 4,221"," 15,500"," 12,616"," 14,269"," -1,653"," 29,454"," 45,033"," -15,579"
2021/11/16,,,"15,408",,,"-1,653",,,"-16,352"
2021/11/16," 18,962"," 5,435"," 13,527"," 12,678"," 14,267"," -1,589"," 29,676"," 44,739"," -15,063"
2021/11/17,,,"13,785",,,"-1,589",,,"-16,027"
2021/11/17," 17,274"," 3,451"," 13,823"," 12,770"," 14,117"," -1,347"," 22,930"," 38,480"," -15,550"
2021/11/18,,,"13,936",,,"-1,347",,,"-15,918"
2021/11/18," 17,291"," 3,883"," 13,408"," 12,713"," 13,956"," -1,243"," 24,175"," 42,115"," -17,940"
2021/11/19,,,"13,703",,,"-1,243",,,"-17,756"
2021/11/19," 17,598"," 3,718"," 13,880"," 12,583"," 13,957"," -1,374"," 22,931"," 42,698"," -19,767"
2021/11/22,,,"13,896",,,"-1,374",,,"-18,840"
2021/11/22," 17,656"," 4,122"," 13,534"," 12,582"," 13,957"," -1,375"," 26,119"," 44,775"," -18,656"
2021/11/23,,,"13,909",,,"-1,375",,,"-18,625"
2021/11/23," 18,593"," 4,469"," 14,124"," 12,442"," 14,287"," -1,845"," 25,391"," 44,098"," -18,707"
2021/11/24,,,"14,333",,,"-1,845",,,"-19,774"
2021/11/24," 18,151"," 4,112"," 14,039"," 12,388"," 14,287"," -1,899"," 26,591"," 45,556"," -18,965"
2021/11/25,,,"14,158",,,"-1,899",,,"-19,691"
2021/11/25," 18,487"," 3,966"," 14,521"," 12,376"," 14,287"," -1,911"," 26,150"," 46,472"," -20,322"
2021/11/26,,,"14,431",,,"-1,911",,,"-20,165"
2021/11/26," 18,179"," 4,586"," 13,593"," 12,157"," 14,940"," -2,783"," 25,483"," 45,526"," -20,043"
2021/11/29,,,"13,700",,,"-2,783",,,"-19,565"
2021/11/29," 17,321"," 4,546"," 12,775"," 12,207"," 14,945"," -2,738"," 27,290"," 45,770"," -18,480"
2021/11/30,,,"12,726",,,"-2,780",,,"-19,297"
2021/11/30," 19,546"," 4,991"," 14,555"," 12,287"," 14,972"," -2,685"," 25,816"," 47,610"," -21,794"
2021/12/01,,,"14,340",,,"-2,676",,,"-21,633"
2021/12/01," 18,517"," 4,812"," 13,705"," 12,410"," 14,480"," -2,070"," 27,067"," 48,641"," -21,574"
2021/12/02,,,"14,003",,,"-2,037",,,"-21,767"
2021/12/02," 18,076"," 5,169"," 12,907"," 12,479"," 14,320"," -1,841"," 25,754"," 47,612"," -21,858"
2021/12/03,,,"12,396",,,"-1,841",,,"-21,871"
2021/12/03," 18,793"," 5,126"," 13,667"," 12,481"," 14,315"," -1,834"," 25,658"," 47,825"," -22,167"
2021/12/06,,,"13,533",,,"-1,834",,,"-22,055"
2021/12/06," 20,154"," 6,101"," 14,053"," 12,477"," 14,317"," -1,840"," 26,877"," 50,907"," -24,030"
2021/12/07,,,"14,150",,,"-1,873",,,"-23,465"
2021/12/07," 20,974"," 5,968"," 15,006"," 13,726"," 14,213", -487," 25,350"," 51,568"," -26,218"
2021/12/08,,,"14,395",,,-454,,,"-25,420"
2021/12/08," 18,022"," 4,102"," 13,920"," 14,295"," 14,166", 129," 25,001"," 50,415"," -25,414"
2021/12/09,,,"13,819",,,129,,,"-24,843"
2021/12/09," 17,793"," 4,144"," 13,649"," 14,368"," 14,171", 197," 25,804"," 50,404"," -24,600"
2021/12/10,,,"14,316",,,197,,,"-24,613"
2021/12/10," 18,450"," 3,966"," 14,484"," 14,425"," 14,172", 253," 24,508"," 50,924"," -26,416"
2021/12/13,,,"14,419",,,253,,,"-25,819"
2021/12/13," 19,017"," 4,800"," 14,217"," 14,398"," 14,382", 16," 27,013"," 52,763"," -25,750"
2021/12/14,,,"14,292",,,16,,,"-26,408"
2021/12/14," 20,214"," 6,095"," 14,119"," 14,556"," 14,812", -256," 26,018"," 52,546"," -26,528"
2021/12/15,,,"14,573",,,-256,,,"-27,150"
2021/12/15," 16,895"," 1,969"," 14,926"," 14,959"," 14,817", 142," 20,890"," 46,678"," -25,788"
2021/12/16,,,"15,111",,,142,,,"-26,318"
2021/12/16," 17,043"," 1,873"," 15,170"," 15,153"," 14,378", 775," 21,203"," 47,733"," -26,530"
2021/12/17,,,"15,129",,,775,,,"-26,256"
2021/12/17," 16,673"," 2,408"," 14,265"," 15,184"," 14,379", 805," 22,015"," 47,429"," -25,414"
2021/12/20,,,"14,445",,,805,,,"-26,342"
2021/12/20," 18,173"," 2,416"," 15,757"," 14,990"," 14,663", 327," 21,589"," 48,231"," -26,642"
2021/12/21,,,"15,718",,,327,,,"-25,584"
2021/12/21," 18,020"," 2,951"," 15,069"," 15,173"," 14,333", 840," 22,106"," 47,519"," -25,413"
2021/12/22,,,"15,067",,,840,,,"-25,029"
2021/12/22," 17,966"," 2,167"," 15,799"," 15,206"," 14,323", 883," 21,197"," 45,391"," -24,194"
2021/12/23,,,"16,070",,,883,,,"-23,468"
2021/12/23," 18,213"," 2,192"," 16,021"," 15,039"," 14,107", 932," 22,282"," 46,148"," -23,866"
2021/12/24,,,"16,055",,,932,,,"-23,701"
2021/12/24," 17,674"," 2,260"," 15,414"," 15,047"," 14,107", 940," 23,007"," 47,663"," -24,656"
2021/12/27,,,"15,504",,,940,,,"-24,557"
2021/12/27," 17,598"," 2,451"," 15,147"," 15,038"," 13,892"," 1,146"," 25,438"," 48,898"," -23,460"
2021/12/28,,,"15,358",,,"1,146",,,"-23,474"
2021/12/28," 17,407"," 2,919"," 14,488"," 15,120"," 13,724"," 1,396"," 27,786"," 50,379"," -22,593"
2021/12/29,,,"14,503",,,"1,396",,,"-23,271"
2021/12/29," 17,622"," 2,489"," 15,133"," 15,194"," 13,568"," 1,626"," 29,056"," 52,147"," -23,091"
2021/12/30,,,"15,280",,,"1,626",,,"-23,410"
2021/12/30," 17,979"," 2,345"," 15,634"," 15,287"," 13,633"," 1,654"," 27,306"," 52,462"," -25,156"
2022/01/03,,,"15,845",,,"1,654",,,"-24,072"
2022/01/03," 18,361"," 2,641"," 15,720"," 15,356"," 13,514"," 1,842"," 26,582"," 51,758"," -25,176"
2022/01/04,,,"15,489",,,"1,842",,,"-24,126"
2022/01/04," 19,420"," 3,025"," 16,395"," 15,524"," 13,134"," 2,390"," 27,113"," 51,817"," -24,704"
2022/01/05,,,"16,225",,,"2,390",,,"-25,388"
2022/01/05," 19,120"," 2,736"," 16,384"," 16,039"," 13,136"," 2,903"," 27,902"," 51,989"," -24,087"
2022/01/06,,,"16,190",,,"2,903",,,"-25,507"
2022/01/06," 17,886"," 2,973"," 14,913"," 16,069"," 13,424"," 2,645"," 28,444"," 51,581"," -23,137"
